id,page,name,desc
0,28596,ISO-8859-6,Arabic(ISO8859-6)
1,720,DOS-720,Arabic(OEM720)
2,1256,windows-1256,Arabic(Windows)
3,28594,ISO-8859-4,Baltic(ISO8859-4)
4,28603,ISO-8859-13,Baltic(ISO8859-13)
5,775,IBM775,Baltic(OEM775)
6,1257,windows-1257,Baltic(Windows)
7,28604,ISO-8859-14,Celtic(ISO8859-14)
8,28595,ISO-8859-5,Cyrillic(ISO8859-5)
9,20866,KOI8-R,Cyrillic(KOI8-R)
10,21866,KOI8-U,Cyrillic(KOI8-U)
11,10007,x-mac-cyrillic,Cyrillic(Mac)
12,855,IBM855,Cyrillic(OEM855)
13,866,cp866,Cyrillic(OEM866)
14,1251,windows-1251,Cyrillic(Windows)
15,852,IBM852,CentralEuropean(OEM852)
16,1250,windows-1250,CentralEuropean(Windows)
17,950,Big5,Chinese(Big5Traditional)
18,936,GB2312,Central(GB2312Simplified)
19,28592,ISO-8859-2,EasternEuropean(ISO8859-2)
20,28597,ISO-8859-7,Greek(ISO8859-7)
21,737,IBM737,Greek(OEM737)
22,869,IBM869,Greek(OEM869)
23,1253,windows-1253,Greek(Windows)
24,28598,ISO-8859-8,Hebrew(ISO8859-8)
25,862,DOS-862,Hebrew(OEM862)
26,1255,windows-1255,Hebrew(Windows)
27,932,Shift_JIS,Japanese(Shift-JIS)
28,949,KS_C_5601-1987,Korean(Windows)
29,51949,EUC-KR,Korean(EUC)
30,861,IBM861,NorthEuropean(IcelandicOEM861)
31,865,IBM865,NorthEuropean(NordicOEM865)
32,874,windows-874,Thai(TIS-620)
33,28593,ISO-8859-3,Turkish(ISO8859-3)
34,28599,ISO-8859-9,Turkish(ISO8859-9)
35,857,IBM857,Turkish(OEM857)
36,1254,windows-1254,Turkish(Windows)
37,28591,ISO-8859-1,WesternEuropean(ISO-8859-1)
38,28605,ISO-8859-15,WesternEuropean(ISO-8859-15)
39,850,IBM850,WesternEuropean(OEM850)
40,858,IBM858,WesternEuropean(OEM858)
41,860,IBM860,WesternEuropean(OEM860:Portuguese)
42,863,IBM863,WesternEuropean(OEM863:French)
43,437,IBM437,WesternEuropean(OEM-US)
44,1252,windows-1252,WesternEuropean(Windows)
45,1258,windows-1258,Vietnamese(Windows)
46,65001,UTF-8,Unicode(UTF-8)
47,65000,UTF-7,Unicode(UTF-7)
48,1200,UTF-16,Unicode(UTF-16)
49,1201,UTF-16BE,Unicode(UTF-16BigEndian)
50,12000,UTF-32,Unicode(UTF-32)
51,12001,UTF-32BE,Unicode(UTF-32BigEndian)
